googlevideo.com,74.125.132.99
r1.sn-poqvn5u-jb36.a1.googlevideo.com,114.4.7.12
r2.sn-poqvn5u-jb36.a1.googlevideo.com,114.4.7.13
r3.sn-poqvn5u-jb36.a1.googlevideo.com,114.4.7.14
r4.sn-poqvn5u-jb36.a1.googlevideo.com,114.4.7.15
r5.sn-poqvn5u-jb36.a1.googlevideo.com,114.4.7.16
r6.sn-poqvn5u-jb36.a1.googlevideo.com,114.4.7.17
r7.sn-poqvn5u-jb36.a1.googlevideo.com,114.4.7.18
r8.sn-poqvn5u-jb36.a1.googlevideo.com,114.4.7.19
r1.sn-cp1oxu-jb36.a1.googlevideo.com,117.102.111.172
r2.sn-cp1oxu-jb36.a1.googlevideo.com,117.102.111.173
r2.sn-npoe7n76.a1.googlevideo.com,173.194.22.216
r6.sn-npoe7n76.a1.googlevideo.com,173.194.22.220
r1.sn-nx5s7n76.a1.googlevideo.com,74.125.5.6
r2.sn-nx5s7n76.a1.googlevideo.com,74.125.5.7
r3.sn-nx5s7n76.a1.googlevideo.com,74.125.5.8
r4.sn-nx5s7n76.a1.googlevideo.com,74.125.5.9
r5.sn-nx5s7n76.a1.googlevideo.com,74.125.5.10
r1.sn-npoeen76.a1.googlevideo.com,209.85.229.199
r2.sn-n4v7sn76.a1.googlevideo.com,74.125.170.232
r5.sn-n4v7sn76.a1.googlevideo.com,74.125.170.235
r6.sn-n4v7sn76.a1.googlevideo.com,74.125.170.236
r1.sn-2uuxa3vh-ngb6.a1.googlevideo.com,36.92.233.12
r2.sn-2uuxa3vh-ngb6.a1.googlevideo.com,36.92.233.13
r3.sn-2uuxa3vh-ngb6.a1.googlevideo.com,36.92.233.14
r4.sn-2uuxa3vh-ngb6.a1.googlevideo.com,36.92.233.15
r1.sn-2uuxa3vh-wvb6.a1.googlevideo.com,36.92.234.140
r2.sn-2uuxa3vh-wvb6.a1.googlevideo.com,36.92.234.141
r3.sn-2uuxa3vh-wvb6.a1.googlevideo.com,36.92.234.142
r4.sn-2uuxa3vh-wvb6.a1.googlevideo.com,36.92.234.143
r1.sn-2uuxa3vh-n0c6.a1.googlevideo.com,118.98.97.204
r2.sn-2uuxa3vh-n0c6.a1.googlevideo.com,118.98.97.205
